iter	Logloss
0	0.5783551827
1	0.4949378827
2	0.434771993
3	0.3918521737
4	0.3597285107
5	0.336292413
6	0.3182780724
7	0.3043299815
8	0.2936815793
9	0.285815362
10	0.2799111544
11	0.2749610784
12	0.271043955
13	0.2682113647
14	0.2659140593
15	0.2640157292
16	0.2623745847
17	0.2612233187
18	0.2602237325
19	0.2594429643
20	0.25868626
21	0.2582374571
22	0.2576224412
23	0.2571072707
24	0.2565340914
25	0.2561696301
26	0.2558544431
27	0.2556503963
28	0.2554286869
29	0.2552069242
30	0.2548879865
31	0.2546127929
32	0.2543199863
33	0.2541750345
34	0.2540239048
35	0.2539137344
36	0.253805522
37	0.2537129627
38	0.2535168557
39	0.2534307447
40	0.2533278513
41	0.2531739693
42	0.253048628
43	0.252967254
44	0.2528007186
45	0.2526533315
46	0.2525599517
47	0.2524527784
48	0.2523451657
49	0.2522626573
50	0.2521966488
51	0.2521329743
52	0.2520437393
53	0.2519970975
54	0.2519105881
55	0.251821052
56	0.2517063797
57	0.2515910684
58	0.2515074959
59	0.2514456391
60	0.2513400227
61	0.2512451683
62	0.2511701793
63	0.2511083481
64	0.2509837926
65	0.2508944495
66	0.250841972
67	0.2507615472
68	0.2506955539
69	0.2506472552
70	0.2506168407
71	0.2505516534
72	0.2504918416
73	0.250437802
74	0.2503310138
75	0.2502772109
76	0.2502362756
77	0.2501956102
78	0.2501414993
79	0.2500291731
80	0.2499817819
81	0.2499494699
82	0.2498828069
83	0.2498247924
84	0.2497811576
85	0.2497424642
86	0.2496802517
87	0.2496388398
88	0.2495499271
89	0.2495135764
90	0.2494740671
91	0.2494182147
92	0.249356359
93	0.2493138907
94	0.2492849871
95	0.2492456468
96	0.2492071188
97	0.2491398542
98	0.2490850705
99	0.2490462347
100	0.2489768722
101	0.2488973836
102	0.248869585
103	0.248830486
104	0.2487904202
105	0.2487104842
106	0.2486696119
107	0.2486205505
108	0.2485550395
109	0.2484352907
110	0.2483947888
111	0.2483548237
112	0.2483122632
113	0.2482555326
114	0.2481863082
115	0.2481472557
116	0.2480512935
117	0.247989439
118	0.2479632583
119	0.2479279833
120	0.2478524413
121	0.2478149918
122	0.2477627737
123	0.2476832176
124	0.2476375961
125	0.2475932329
126	0.247550514
127	0.2474995343
128	0.2474596442
129	0.2474231623
130	0.2473847981
131	0.247320366
132	0.247247918
133	0.2471831022
134	0.2471507259
135	0.2470296066
136	0.2469643574
137	0.2469024642
138	0.2468614037
139	0.2467678438
140	0.2467061235
141	0.2466611704
142	0.2466008639
143	0.2465762855
144	0.2465341973
145	0.246457206
146	0.2464319941
147	0.246364206
148	0.2463242747
149	0.2462836306
150	0.2462344016
151	0.2461842808
152	0.2461498635
153	0.2460780569
154	0.24602251
155	0.2459793291
156	0.2459217939
157	0.2458508872
158	0.2457848109
159	0.2456837053
160	0.2456293294
161	0.2455837272
162	0.2455100453
163	0.2454442812
164	0.2453974829
165	0.2453444676
166	0.2452957152
167	0.2452603178
168	0.2452198061
169	0.2451802419
170	0.2451347621
171	0.2450979902
172	0.2450620359
173	0.2450013064
174	0.2449681178
175	0.244899756
176	0.2448574377
177	0.2448045339
178	0.2447408225
179	0.2447035544
180	0.244663623
181	0.2446239556
182	0.2445826608
183	0.2445457059
184	0.2445014262
185	0.2444630921
186	0.244414072
187	0.2443744272
188	0.2443364077
189	0.2442963455
190	0.2442455664
191	0.2442009606
192	0.244165451
193	0.244133038
194	0.2440968371
195	0.2440583923
196	0.2440151935
197	0.2439753699
198	0.2439323949
199	0.2439025549
